之石,30
之礼,737
之神,219
之祸,253
之福,188
之秋,29
之称,121
之穴,14
之章,35
之策,114
之类,320
之约,71
之罪,490
之美,280
之职,103
之能,283
之臣,611
之至,559
之舞,54
之色,150
之苦,38
之虞,22
之行,808
之见,117
之言,1529
之誉,35
之计,207
之论,143
之词,30
之语,218
之说,375
之谈,27
之谓,1316
之谷,21
之象,245
之责,30
之路,161
之身,193
之躯,8
之辈,24
之辞,346
之过,229
之迷,12
之选,38
之道,1705
之都,56
之重,265
之长,199
之门,171
之间,981
之际,219
之险,55
之难,302
之音,198
之风,152
之首,79
之高,117
之魂,12
乌,515
乌头,14
乌孙,207
乌有,12
乌桓,225
乌梅,9
乌江,7
乍,124
乎其,161
乏,303
乏困,13
乐,2619
乐业,13
乐乐,12
乐事,20
乐于,18
乐亭,6
乐和,10
乐善,9
乐器,76
乐土,18
乐声,8
乐天,21
乐安,36
乐师,31
乐平,12
乐府,92
乐律,12
乐得,24
乐昌,19
乐曲,19
乐松,9
乐歌,13
乐毅,100
乐章,16
乐舞,9
乐观,19
乐记,45
乐道,24
乐陵,15
乔,136
乔木,13
乖,319
乖戾,7
乘,2911
乘以,19
乘势,10
乘危,12
乘桴,7
乘积,6
乘胜,62
乘舆,146
乘船,32
乘虚,12
乘车,64
乘轩,17
乘间,9
乘风,6
乘马,84
乘龙,13
乙丑,76
乙亥,108
乙卯,88
乙巳,78
乙未,84
乙酉,79
九一,21
九七,19
九万,67
九三,72
九世,37
九九,36
九二,62
九五,80
九人,109
九八,20
九六,29
九分,66
九十,213
九千,150
九卷,29
九卿,258
九原,36
九命,14
九品,6
九国,22
九地,7
九城,15
九天,39
九家,21
九尾,7
九岁,88
九州,225
九年,715
九成,17
九折,10
九方,11
九族,65
九日,71
九星,9
九曲,6
九歌,44
九江,168
九百,194
九种,18
九窍,17
九章,149
九辩,10
九道,20
九里,19
九重,29
九门,13
九难,8
九鼎,67
乞,369
乞降,26
乞食,21
乞骸骨,109
也不,83
也与,63
也为,17
也于,9
也以,79
也似,7
也使,16
也只,8
也叫,9
也可,25
也同,9
也和,11
也在,8
也多,14
也大,19
也好,16
也少,8
也就,84
也已,64
也常,6
也很,9
也得,6
也无,15
也曾,13
也正,10
也用,8
也称,10
也能,11
也自,6
也要,11
也说,14
也请,8
也还,10
也长,7
也难,13
也非,9
习,916
习习,6
习俗,41
习惯,7
习用,13
习相远,7
乡,1235
乡人,58
乡党,49
乡城,6
乡曲,31
乡里,207
乡长,17
书,4267
书上,13
书中,50
书云,135
书信,15
书写,10
书名,20
书局,8
书报,11
书本,28
书札,7
书生,20
书社,7
书籍,17
书经,14
书记,79
书面,9
买,315
买卖,7
买马,8
乱,2836
乱世,92
乱乎,22
乱兵,9
乱发,8
乱民,10
乱离,16
乱臣,52
乳,115
乳母,75
乾,432
乾坤,41
乾隆,6
亂,1118
了解,24
予,1838
予以,32
争,1352
争先,17
争光,10
争取,11
争夺,15
争宠,19
争强,15
争斗,17
争权,40
争相,8
争论,22
争锋,13
争雄,7
事,9317
事业,47
事中,88
事主,17
事也,656
事事,18
事件,9
事体,7
事例,9
事先,18
事出,6
事务,9
事发,18
事变,22
事后,9
事多,38
事宜,14
事实,69
事情,48
事成,56
事我,16
事故,18
事来,14
事物,195
事理,91
事相,18
事迹,29
事项,12
二,10024
二一,208
二七,125
二万,164
二三,234
二世,309
二两,216
二为,14
二义,25
二乘,48
二九,98
二二,164
二五,144
二亿,6
二代,33
二价,7
二位,6
二八,112
二六,110
二分,111
二则,10
二千,376
二叔,11
二合,17
二名,22
二女,98
二妃,22
二子,443
二字,438
二寸,147
二将,6
二岁,146
二师,9
二度,56
二弟,23
二心,72
二手,8
二日,202
二时,6
二星,17
二条,7
二段,23
二毛,8
二王,52
二百,565
二相,11
二种,12
二等,27
二级,45
二罪,12
二老,6
二者,239
二至,8
二语,12
二道,11
二里,29
二门,7
二阳,6
二阴,6
二首,21
二马,9
二龙,17
于东,101
于丹,7
于乐,63
于人,343
于今,167
于众,86
于光,8
于八,6
于兵,39
于其,273
于军,30
于凤,8
于利,43
于勇,9
于华,12
于博,10
于君,286
于和,22
于天,390
于威,9
于宁,15
于宾,54
于己,108
于庄,24
于庆,12
于强,14
于征,11
于心,138
于文,58
于新,32
于明,21
于是乎,129
于林,7
于此,464
于武,29
于民,319
于水,58
于永,14
于江,32
于泓,13
于海,94
于燕,34
于田,51
于疆,6
于益,11
于禁,9
于群,35
于蓝,12
于越,61
于都,12
于金,19
于阗,10
于阳,50
于顺,14
于飞,33
于龙,7
亏,227
亏损,13
云中,166
云云,315
云从龙,9
云何,31
云台,25
云天,6
云梦,54
云梯,20
云母,7
云气,34
云汉,13
云涌,6
云烟,14
云门,10
云阳,52
云集,10
云雨,56
云雾,9
云霞,7
云风,7
互,223
互用,11
互相,47
互通,7
亓,83
五一,17
五七,30
五万,128
五丈,42
五三,33
五世,94
五两,40
五个,16
五乘,45
五云,11
五五,38
五人,351
五代,15
五伦,23
五位,21
五倍,13
五六,97
五分,164
五刑,90
五十,587
五千,241
五原,101
五味,174
五和,9
五品,22
五四,27
五国,48
五声,67
五大,11
五子,84
五宗,13
五官,160
五家,74
五尺,191
五山,7
五岁,102
五岳,36
五帝,483
五常,74
五彩,10
五性,9
五成,9
五指,12
五教,43
五方,25
五日,441
五时,13
五星,136
五更,31
五服,33
五步,64
五毒,8
五法,6
五湖,55
五百,419
五福,15
五种,47
五等,44
五篇,158
五经,253
五羊,8
五脏,49
五色,233
五苓,17
五营,19
五藏六府,11
五行,408
五观,10
五言,45
五谷,236
五载,21
五过,8
五逆,7
五邑,7
五部,23
五铢,46
五霸,34
五音,116
井,537
井上,9
井水,9
井田,58
井陉,35
亘,23
亚,200
些,254
亞,8
亟,272
亟其乘屋,7
亡,4846
亡人,72
亡命,77
亡国,187
亡夫,10
亡故,6
亡者,207
亢,219
亢礼,12
亢阳,6
亢龙有悔,14
交,1162
交代,12
交关,7
交兵,17
交友,47
交合,8
交情,7
交接,44
交易,33
交欢,11
交河,9
交流,7
交游,45
交相,29
交织,8
交结,25
交臂,12
交趾,19
交通,112
交道,7
交错,38
交际,15
交集,8
亥,125
亦不,249
亦为,100
亦云,135
亦以,233
亦作,240
亦即,20
亦可,104
亦如,43
亦将,49
亦已,48
亦应,7
亦或,16
亦无,87
亦未,66
亦然,147
亦称,37
亦能,47
亦难,53
亦非,82
产,355
产业,40
产于,12
产后,12
产子,36
产生,80
亨,248
亩,153
享,585
享受,7
享国,69
京,415
京兆,260
京城,13
京师,757
京房,133
京都,95
京骨,8
亭,799
亭下,8
亭亭,9
亭候,6
亮,91
亲,2925
亲临,32
亲事,6
亲亲,105
亲信,34
亲友,13
亲善,7
亲子,6
亲家,18
亲密,7
亲属,89
亲戚,163
亲故,22
亲族,7
亲昵,8
亲民,13
亲爱,43
亲疏,85
亲自,36
亲见,39
亲近,74
亳,84
亵,34
亶,116
亹,94
人不,474
人与,139
人世,10
人中,35
人为,410
人之云亡,10
人也,2604
人事,246
人亡,46
人交,24
人亦有言,16
人人,112
人们,28
人会,7
人伦,78
人体,31
人保,7
人偶,11
人则,182
人到,10
人力,70
人去,29
人参,87
人又,37
人及,109
人发,15
人口,15
人名,55
人向,8
人命,44
人和,34
人因,56
人在,156
人士,26
人声,17
人多,119
人大,41
人天,10
人头,14
人妻,19
人子,153
人学,20
人客,6
人家,30
人对,16
人将,92
人少,43
人就,13
人尽,25
人居,60
人年,22
人应,16
人形,35
人心,195
人性,43
人情,213
人意,26
人所,359
人手,15
人才,32
人执,146
人把,6
人教,9
人数,22
人文,27
人日,19
人时,15
人望,26
人本,18
人材,23
人来,98
人欲,98
人武,10
人死,70
人氏,11
人民,309
人气,13
人治,31
人流,8
人物,82
人犯,10
人王,13
人生,150
人畜,17
人知,84
人称,23
人等,20
人类,28
人精,6
